id,theme_name,definition
21,Xenophobia,"communities are facing. It doesn’t make sense to let Asians/Asian Americans suffer Anti-Asian hate. Some talk about how it is important to let schools and colleges hold accountability, such as addressing injustices Asian Americans face. Asians/Asian Americans must work together to combat hate and ensure that all perpetrators are brought to justice."
22,Stop AAPI Hate,"Asians/Asian Americans felt worried, frustrated, anxious, and afraid that they may experience Anti-Asian hate crimes, attacks, assaults, and violence. But they felt that nothing happened to stop them. Support for Asian American communities is not enough. "
23,Donald Trump,"Hate incidents targeted toward Asians and Asian Americans or individuals perceived as Asian descent. These hate incidents can include physical assaults or attacks. Different from anti-Asian violence or attacks, such incidents have been investigated by the police."
24,“China/Chinese virus” or “Kung flu/plague” or “Wuhan virus/plague” or “Diseased Chinese” or “Asian Virus” or “Ramen Noodle flu”,Asians/Asian Americans suffer from Anti-Asian hate incidents but their experiences were ignored.
25,“Ching Chong”,"Attackers repeatedly attacked, assaulted, or harassed Asians/Asian Americans."
26,“Commie”,"These could include verbal harassment (e.g., written, visual, or auditory), physical injuries (e.g., struck in the face causing nosebleed, cut lip, bruised thigh and hip, sore shoulder, and bloody elbow), or property harm (e.g., harm directed at someone’s property, such as car, house, or other personal items)"
27,Yellow peril,"The dislike of or prejudice against people from other countries. In this case, those from Asian countries."
28,COVID-19 or coronavirus or pandemic,"A U.S.-based coalition dedicated to ending racism and discrimination against Asian Americans and Pacific Islanders (AAs & PIs). It is created due to the need to document the rise of COVID-19-related anti-Asian racism in the early stages of the global pandemic and joined forces to launch an online reporting center. As the nation’s largest reporting center tracking anti-AAPI hate acts, the coalition publishes data insights and research findings to paint a vivid and nuanced picture of racism and other forms of bigotry as it is experienced by AAPI communities. "
29,Fetishized or fetishization ,"The former US president, Donald, Trump, made a lot of comments on the COVID-19 pandemic. One kind of comment is that he used/dubbed Asian-related objects to combine with disease (virus/flu/covid) or directly calling coronavirus/covid (e.g., country’s or region’s names or Kung flu[modified by Kung Fu], or races) to verbally attack Asians/Asian Americans, such as  “China/Chinese virus” or “Kung flu.” Another type of comment is that he blamed China for causing the pandemic. Such kinds of comments reinforced racism, Anti-Asian bigotry/hate, and Anti-Asian incidents in the US society. Such comments also led some Americans to blame Asians/Asian Americans for causing the pandemic. But Former White House spokeswoman has said Mr. Trump wasn't being offensive when he referred to the virus as ""kung flu"" or “China virus” but was ""linking it to its place of origin."" The third type of comment is that Mr. Trump said there was no Anti-Asian hate crimes. On the other hand, Mr. Trump also made another type of comment that was contradictory to the previous comments with the Anti-Asian sentiment. This comment addressed that the pandemic/virus was not the fault of Chinese Americans and we have to protect Asian American communities in the United States."
30,Hypersexualization of Asian women,"A kind of inflammatory comment by using/bubbing Asian-related objects to combine with disease (virus/flu/covid) or directly calling coronavirus/covid (e.g., country’s or region’s names, Asian food, Kung flu[modified by Kung Fu], or races) to verbally harass or attack Asians/Asian Americans, such as  “China/Chinese virus” or “Kung flu/plague” or “Wuhan virus/plague” or “Diseased Chinese” or “Asian Virus” or “Ramen Noodle flu.” Mr. Donald Trump was perceived as the first to do so, which reinforced the public’s use of such comment to harass Asians/Asian Americans"
31,Sexualized or Sexualization,"Generally, this is an ethnic slur that is used to mock or imitate the Chinese language, people of Chinese ancestry, or other people of Asian descent perceived to be Chinese or related with Chinese. In the context of the COVID-19 pandemic, this slur is used to verbally harass Asians/Asian Americans during the COVID-19 pandemic regardless of whether the victims are Chinese descent or not.  "
32,Exotic (describing Asian women),"Commie means communist, which is related with Chinese. This term is used as a derogatory/stereotype name to verbally harass Asians/Asian Americans "
33,Misogyny,"A racist metaphor that depicts the people of East and Southeast Asia as an existential danger to the Western world. The concept was developed during the 19th century when Chinese workers legally immigrated to the West. Their work ethic provoked a racist backlash against Chinese communities, for agreeing to work for lower wages than did the local white populations."
34,White supremacy,The global pandemic that began in early 2020. 
35,Preserve whiteness ,Having an unreasonable amount of sexual interest in Asian women. Or viewing Asian women as sexual objects.
36,White privilege,"Involves the attribution by the media of a sexual character to a product or behavior that has nothing intrinsically sexual about it. When applied to Asian women, being viewed as submissive, exotic, and being fetishized. Some examples include viewing Asian women as lotus blossoms, butterflies (who is a demure, devoted, and submissive wife), dragon ladies (as a sinister, crafty, and destructive seductress). Hypersexualization can be seen in magazines, videos, films, the fashion industry and particularly in advertising. Examples include “Madame Butterfly”, “Miss Saigon”, and “Full Metal Jacket”."
37,Otherized (or othering),"Placing an emphasis on the sexual nature of a behavior or a person. Linked to sexual objectification, treating a person solely as an object of sexual desire"
38,Racism (general),"Asian women being viewed as different, strange, or unusual "
39,"Racism (gendered, misogynistic) or racism toward Asian American women)","A dislike of or ingrained prejudice against women. Include feeling, showing, or characterized by hatred against women. "
40,Systemic racism,"The belief that white people constitute a superior race and should dominate society, typically to the exclusion or detriment of other racial and ethnic groups."
41,Color blind/minimizing racism,"Maintaining the mostly hidden benefits that white people possess in a society (e.g., white privilege) and white supremacist cultural values."
42,Feelings of invisibility (or invisible minority),"The societal privilege that benefits white people over non-white people in some societies, particularly if they are otherwise under the same social, political, or economic circumstances. White privilege is a social phenomenon intertwined with race and racism. The term is used in discussions focused on the mostly hidden benefits that white people possess in a society where racism is prevalent and whiteness is considered normal. "
43,Feelings of being vulnerable ,"Peggy McIntosh developed the term to explain how “Whites are taught to view their social, cultural, and economic experiences as the norm that everyone should experience, rather than as an advantaged position that must be maintained at the expense of others. It confers unsolicited racial dominance from birth."
44,Model Minority Myth (or myth of the model minority),"Viewing or treating (a person or a group of people) as intrinsically different from and alien to oneself. It is a phenomenon in which some individuals or groups are defined and labeled as not fitting in within the norms of a social group. It is an effect that influences how people perceive and treat those who are viewed as being part of the in-group versus those who are seen as being part of the out-group. “Othering” involves attributing negative characteristics to people or groups that differentiate them from the perceived normative social group. For example, by referring to Asian Americans as a “model minority” or as “perpetual foreigners” (or “forever foreigners”) is an act of othering. "
45,Being discriminated but also being model minority,1. The belief that races are populations of people whose physical differences are linked to significant cultural and social differences and that these innate hierarchical differences can be measured and judged.
46,Asian culture being appreciated but AA received no respect or were attacked,2. The practice of subordinating races believed to be inferior. 
47,Perpetual foreigner (or forever foreigner or go back to China or You don’t belong to here),"A form of oppression that occurs due to race and gender. It is perpetuated due to the prevalence of perceptions, stereotypes, and images of certain groups. It differs from “racism” or “sexism” in that it pertains specifically to racial and ethnic understandings of masculinity and femininity, as well as along gendered forms of race and ethnic discrimination. The ways in which Asian American women are typically viewed in the US (e.g., exotic and fetishized, but also submissive) contribute to their experience of gendered racism, especially for the Atlanta shootings "
48,Sex addiction or sexual addiction (as describing the Atlanta shooter),"Defined by sociologist Joe Feagin as a diverse assortment of racist practices, encompassing daily microaggressions, deep-seated inequalities, historical inequalities, and anti-Black ideologies. "
49,Sexual violence,Systemic racism can be defined as policies and practices that exist throughout a whole society that leads to a continued unfair advantage to some people and unfair or harmful treatment of others based on race. Examples include:
50,Sex workers,"When one group of people and their values, ways of doing things are classified as “normal” and other groups of people are “abnormal”."
51,Racial trauma,"The political power to withhold basic rights from people of color and use the full power of the state to enforce segregation and inequality, in practice."
52,Racial injustice,The social power to deny people of color full inclusion or membership in associational life.
53,Racial prejudice,"The economic power that privileges white people in terms of job placement, advancement, wealth, and property accumulation."
54,Racial inequity,"Some Americans do not believe discrimination, racism, or racist bias/bigotry against Asians/Asian Americans exists in the community. Incidents of anti-Asian hate (including physical, verbal, and online harassment, attacks, violence, assaults, and Anti-Asian crimes) were downplayed, ignored, or perceived as not existing by the public, the law enforcement system (e.g., the police), and governors (e.g., Mr. Donald Trump). When Asians/Asian Americans were attacked, Anti-Asian hate or racism was not perceived as the perpetrators’ motives/motivations by the police or the perpetrators said their motivations were not triggered by Anti-Asian bigotry or racism.  "
55,Racial oppression,"Hate crimes against Asian Americans had received relatively little attention or been ignored by the public and news outlet. Also, Asians/Asian Americans feel they are invisible, forgotten, and neglected community."
56,Racial bias,"Asians/Asian Americans feel they are vulnerable to Anti-Asian hate crimes, discrimination, harassment, attacks, violence, and assaults. They are worried about their safety. Some feel that Asian/Asian American women are more vulnerable. Furthermore, poor and immigrant Asian women are the most vulnerable group.  "
57,Stereotypes,"Asian Americans are stereotyped as model minority, meaning that they seem not to suffer in the classroom or in the economy (doing well in school and at work). Other stereotypes include that Asian Americans tend not to complain and attacking on them can’t really hurt them. "
58,Discrimination ,"Asian Americans were discriminated and suffered from Anti-Asian hate harassment, attacks, assaults, violence, and crimes. But they were also perceived as model minority, meaning that they did not have problems and adjusted well in every aspect, such as learning and working. Such stereotype masked the discriminatory and racist experiences they had."
59,Reasons behind racism/discrimination (Undermining human rights; Donald Trump’s comment),"Asian culture is appreciated. For example, Chinese food and K-pop culture are loved. But on the other hand, Asians were not respected and targeted for violence and experienced Anti-Asian hate."
60,"Impacts of racism on AA population (unemployment, mental health problems, trauma, PTSD, Asian Target Anxiety Syndrome,  negative emotions (sadness), distrust, isolating self, Asian-based business had poor business or was worried about being attacked, child well-being, increasingly purchasing guns to defend themselves)","Asian Americans were perceived as outsiders, perpetual foreigners, and never becoming Americans. The public called them to go back to(two/2) China (their countries/where you come from)/get out here/go home, said you don’t belong to here, or ask them where did you come from or assume you were exchange students, even though many of them were born in the US and had no relation with China. "
61,Scapegoat,"Excessive sexual thoughts, desires, urges or behaviors that can’t be controlled and cause distress and harm to your relationships, finances and other aspects of life. It is also called hypersexuality or compulsive sexual behavior. It is what the Atlanta shooter claimed as a motivation that led to his senseless killings of the victims."
62,Cultural complicity,"A broad category of actions in which a person exerts their power and control over another person through unwanted or harmful sexual actions. It could include sexual assault, sexual coercion, rape, sexual harassment, sexual exploitation, stalking, and relationship violence."
63,Terrorism,"A person who provides sex work, either on a regular or occasional basis. Sex work is different from sexual exploitation, or the forcing of a person to commit sexual acts, in that sex work is voluntary and is seen as the commercial exchange of sex for money or goods. The term is used in reference to those who work in all areas of the sex industry."
64,Domestic terrorism,"Race-based traumatic stress. The mental and emotional injury caused by encounters with racial bias and ethnic discrimination, racism, and hate crimes."
65,Page Act,"When people of color and communities of color do not have full access to the rights and benefits of American society, or when they experience human rights violations due to systemic racism."
66,Microaggressions,The belief that people belong to distinct racial groups with innate hierarchical differences that can be measured and judged
67,Youth as an excuse,"The unequal distribution of resources, power, and economic opportunity across race in a society. This includes racial disparities in wealth, education, employment, housing, mobility, health, and rates of incarceration"
68,Religion,"Unjust or cruel treatment or exercise of power over a group of individuals based on their race. Racial oppression may be social, systematic, institutionalized, or internalized. Social forms of racial oppression include exploitation and mistreatment that is socially supported"
69,Anti-Blackness,"A distortion arising from systemic, institutional, interpersonal or individual forms of explicit (conscious) or implicit (unconscious) prejudice against individuals or groups based on social constructs of race or ethnicity. The primarily unconscious thoughts, preconceptions, or experiences that cause people to think and act in prejudiced ways"
70,Asian/African American divide,A widely held but fixed and oversimplified image or idea of a type of person or thing. An example would include: viewing Asian Americans as good at STEM or as the model minority. 
71,Muslim hate,"The practice of treating people differently. In the context of COVID-19 pandemic, Asians/Asian Americans were treated differently due to their racial/ethnic background."
72,Policy changes,"Asians/Asian Americans talked about what factors can lead to anti-Asian hate crime, discrimination, harassment, attack, assaults, and violence. The factors include to dehumanize and to undermine the fundamental rights, dignity and belonging of those they target. Donald Trump (administration)’s and other Republicans’ use of hate/disparaging/derogatory speech and comments with purposes of Anti-Asian racism and discrimination also initiate different forms of Anti-Asian racism in the US. Examples of Trump’s comments include China Virus and Kung Flu.    "
73,American dream being broken,"Impacts of racism on Asian Americans include unemployment, mental health problems, trauma, PTSD, Asian Target Anxiety Syndrome, negative emotions (sadness), distrust, and isolating self. Also, Asian-based business had poor business or was worried about being attacked by the public. Third, children may have hard time to go back to school or experience discrimination. Fourth, there is an increase in purchasing guns among Asian Americans. "
74,Global condemning against Anti-Asian hate crime/violence/racism ,"During the COVID-19 pandemic, the whole world was suffering from the pandemic-related economic crises because a lot of entertainment and social activities were forced to be shutdowned. In such situation, people would like to find scapegoats for the crises. Since COVID-19 was first reported in Wuhan, China, people look like Chinese tend to be attacked. So Asians/Asian Americans tend to be targeted for causing the pandemic and all the related economic crises.   "
